theme,text,probe_text,row_id,article_name,sim_to_centroid,__text,F_openai_labels,F_anthropic_labels,F_openai_match,F_anthropic_match,F_openai_n_labels,F_anthropic_n_labels
threat,"The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their","The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their",1553,Toward an Artist-Centred AI,0.8892434,"The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their","[""utility"", ""threat""]","[""utility"", ""threat""]",True,True,2,2
threat,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,1560,Toward an Artist-Centred AI,0.9024652,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,"[""utility""]","[""threat"", ""utility""]",False,True,1,2
threat,"“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.","“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.",1692,nytimes.com,0.8846864,"“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.","[""transparency"", ""threat""]","[""transparency"", ""threat""]",True,True,2,2
threat,Special Issue Advancements in generative art have many human artists on edge.,Special Issue Advancements in generative art have many human artists on edge.,1665,Why artists shouldn’t fear AI,0.88861763,Special Issue Advancements in generative art have many human artists on edge.,"[""threat""]","[""threat""]",True,True,1,1
threat,This problem is only exacerbated when one examines works produced by creative robots.,This problem is only exacerbated when one examines works produced by creative robots.,486,"COPYRIGHTABILITY OF ARTWORKS PRODUCED BY CREATIVE ROBOTS AND THE CONCEPT OF
ORIGINALITY: THE FORMALITY - OBJECTIVE MODEL",0.8887196,This problem is only exacerbated when one examines works produced by creative robots.,"[""threat""]","[""ownership""]",True,False,1,1
threat,"isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.","isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.",7,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",0.8989088,"isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.","[""threat"", ""utility""]","[""threat"", ""utility""]",True,True,2,2
threat,"I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.","I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.",924,Jeff Koons Won't Work with AI Anytime Soon,0.89104176,"I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.","[""utility"", ""ownership""]","[""utility""]",False,False,2,1
threat,"An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.","An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.",1126,Skynet is Coming for Digital Artists!,0.8826247,"An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.","[""utility""]","[""utility""]",False,False,1,1
threat,"It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.","It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.",46,AI Art: Machine Visions and Warped Dreams,0.8902036,"It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.","[""utility""]","[""utility""]",False,False,1,1
threat,"AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.","AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.",1667,Why artists shouldn’t fear AI,0.8881442,"AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.","[""threat""]","[""threat""]",True,True,1,1
utility,Another major concern is that AI art might replace human art one day.,Another major concern is that AI art might replace human art one day.,1332,The Future of Art,0.9009443,Another major concern is that AI art might replace human art one day.,"[""threat""]","[""threat""]",False,False,1,1
utility,"However, many art galleries are still assessing where AI art fits in.","However, many art galleries are still assessing where AI art fits in.",1584,Unpacking AI’s influence in contemporary Art,0.90986353,"However, many art galleries are still assessing where AI art fits in.","[""utility""]","[""utility""]",True,True,1,1
utility,"Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,","Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,",1551,Toward an Artist-Centred AI,0.8961865,"Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,","[""utility""]","[""utility"", ""threat""]",True,True,1,2
utility,Artworks created by Creative Adversarial Networks (CAN) artificial intelligence.,Artworks created by Creative Adversarial Networks (CAN) artificial intelligence.,4,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",0.89946014,Artworks created by Creative Adversarial Networks (CAN) artificial intelligence.,"[""utility""]","[""ownership""]",True,False,1,1
utility,"Well, I mean, sort of speaking more on the AI thread is like people are hypothesizing that, like, one of the great things about AI is that it democratizes art.","Well, I mean, sort of speaking more on the AI thread is like people are hypothesizing that, like, one of the great things about AI is that it democratizes art.",1081,Sarah Sze on the Future of Art,0.8995763,"Well, I mean, sort of speaking more on the AI thread is like people are hypothesizing that, like, one of the great things about AI is that it democratizes art.","[""utility""]","[""utility""]",True,True,1,1
utility,Allen's approach to AI generated art and his concerns about the future of art.,Allen's approach to AI generated art and his concerns about the future of art.,314,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,0.9082231,Allen's approach to AI generated art and his concerns about the future of art.,"[""threat"", ""utility""]","[""threat"", ""utility""]",True,True,2,2
utility,We could go so far to say: early computer art provides the _missing theoretical framework_ for contemporary AI art.,We could go so far to say: early computer art provides the _missing theoretical framework_ for contemporary AI art.,1475,"The Past, Present, and Future of AI Art",0.9020088,We could go so far to say: early computer art provides the _missing theoretical framework_ for contemporary AI art.,"[""utility""]","[""utility""]",True,True,1,1
utility,"In a word, AI technology can improve the development of digital art design, and the digital art has an important role in the social development.","In a word, AI technology can improve the development of digital art design, and the digital art has an important role in the social development.",1033,Research on Digital Art Creation Based on Artificial Intelligence,0.8944679,"In a word, AI technology can improve the development of digital art design, and the digital art has an important role in the social development.","[""utility""]","[""utility""]",True,True,1,1
utility,"It could challenge traditional notions of art and creativity, leading to intense discussions about the roles of AI and human artists.","It could challenge traditional notions of art and creativity, leading to intense discussions about the roles of AI and human artists.",185,AI vs Artists: Who Will Win the War?,0.9013975,"It could challenge traditional notions of art and creativity, leading to intense discussions about the roles of AI and human artists.","[""utility"", ""threat""]","[""threat"", ""utility""]",True,True,2,2
utility,Much of the new work in AI art is being created by GANs (generative adversarial networks).,Much of the new work in AI art is being created by GANs (generative adversarial networks).,1656,Why Love Generative Art — Artnome,0.89901954,Much of the new work in AI art is being created by GANs (generative adversarial networks).,"[""utility""]","[""utility""]",True,True,1,1
ownership,"Especially if you're a digital artist, it is very easy for the machine to confuse your art with AI art.","Especially if you're a digital artist, it is very easy for the machine to confuse your art with AI art.",819,How will AI change the future of the art industry?,0.89187014,"Especially if you're a digital artist, it is very easy for the machine to confuse your art with AI art.","[""threat"", ""ownership""]","[""threat""]",True,False,2,1
ownership,"Substantial Human Creativity: A creator, such as a digital artist who selects, edits, and arranges AI-generated elements in a way that reflects creative judgment, may claim copyright protection over the resulting work.","Substantial Human Creativity: A creator, such as a digital artist who selects, edits, and arranges AI-generated elements in a way that reflects creative judgment, may claim copyright protection over the resulting work.",1022,"Recent Developments in AI, Art & Copyright: Copyright Office Report & New Registrations",0.90532076,"Substantial Human Creativity: A creator, such as a digital artist who selects, edits, and arranges AI-generated elements in a way that reflects creative judgment, may claim copyright protection over the resulting work.","[""ownership""]","[""ownership""]",True,True,1,1
ownership,"In this sense, works created by creative robots or other AI systems can be considered an impetus for revisiting our understanding of the traditional concept of originality.","In this sense, works created by creative robots or other AI systems can be considered an impetus for revisiting our understanding of the traditional concept of originality.",481,"COPYRIGHTABILITY OF ARTWORKS PRODUCED BY CREATIVE ROBOTS AND THE CONCEPT OF
ORIGINALITY: THE FORMALITY - OBJECTIVE MODEL",0.88332903,"In this sense, works created by creative robots or other AI systems can be considered an impetus for revisiting our understanding of the traditional concept of originality.","[""ownership""]","[""ownership""]",True,True,1,1
ownership,The case also highlights a growing challenge in copyright law: how to evaluate human originality when AI is deeply embedded in the creative and technical process.,The case also highlights a growing challenge in copyright law: how to evaluate human originality when AI is deeply embedded in the creative and technical process.,1029,"Recent Developments in AI, Art & Copyright: Copyright Office Report & New Registrations",0.889573,The case also highlights a growing challenge in copyright law: how to evaluate human originality when AI is deeply embedded in the creative and technical process.,"[""ownership""]","[""ownership""]",True,True,1,1
ownership,I'm sure that there are AI systems out there that can reproduce work that's very similar if not identical to my style because I've seen this happen to other artists.,I'm sure that there are AI systems out there that can reproduce work that's very similar if not identical to my style because I've seen this happen to other artists.,848,I'm Losing My Art Job to AI...What I'm Doing About it.mp3,0.89077526,I'm sure that there are AI systems out there that can reproduce work that's very similar if not identical to my style because I've seen this happen to other artists.,"[""threat"", ""ownership""]","[""threat"", ""ownership""]",True,True,2,2
ownership,Campaigners wanted it stopped because they said some artists had used AI trained on copyrighted works without permission.,Campaigners wanted it stopped because they said some artists had used AI trained on copyrighted works without permission.,847,I make millions from AI art — but the law has to be fair,0.90177727,Campaigners wanted it stopped because they said some artists had used AI trained on copyrighted works without permission.,"[""ownership"", ""transparency""]","[""transparency"", ""ownership"", ""compensation""]",True,True,2,3
ownership,"The AI did not produce the artwork alone, and it is not creative in any human sense The signature in the bottom right of the Obvious portrait is the Gan algorithm.","The AI did not produce the artwork alone, and it is not creative in any human sense The signature in the bottom right of the Obvious portrait is the Gan algorithm.",306,Art made by AI is selling for thousands – is it any good?,0.8935516,"The AI did not produce the artwork alone, and it is not creative in any human sense The signature in the bottom right of the Obvious portrait is the Gan algorithm.","[""ownership""]","[""ownership""]",True,True,1,1
ownership,"This generator is particularly sensitive to the word ""art"" in the prompt - you can try it for yourself.","This generator is particularly sensitive to the word ""art"" in the prompt - you can try it for yourself.",325,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,0.87959075,"This generator is particularly sensitive to the word ""art"" in the prompt - you can try it for yourself.","[""utility""]","[""utility""]",False,False,1,1
ownership,"As it stands, at present, the real threat is not the AI itself, but the access it has been given to copy artists work without their permission, without which, the AI’s work would be innocuous.","As it stands, at present, the real threat is not the AI itself, but the access it has been given to copy artists work without their permission, without which, the AI’s work would be innocuous.",1138,Skynet is Coming for Digital Artists!,0.89246017,"As it stands, at present, the real threat is not the AI itself, but the access it has been given to copy artists work without their permission, without which, the AI’s work would be innocuous.","[""threat"", ""transparency"", ""ownership""]","[""threat"", ""transparency"", ""compensation""]",True,False,3,3
ownership,"So at most, an artist can claim rights over the parts they personally crafted.","So at most, an artist can claim rights over the parts they personally crafted.",1589,Unpacking AI’s influence in contemporary Art,0.8882892,"So at most, an artist can claim rights over the parts they personally crafted.","[""ownership""]","[""ownership""]",True,True,1,1
transparency,"In our first conversation, we're tackling the difficult questions surrounding AI.","In our first conversation, we're tackling the difficult questions surrounding AI.",828,How will AI impact Art? Interview with Artist Jah Reynolds,0.8628049,"In our first conversation, we're tackling the difficult questions surrounding AI.","[""utility""]","[""threat"", ""utility"", ""ownership"", ""transparency"", ""compensation""]",False,True,1,5
transparency,"So far, AI companies have claimed that pulling digital content into training databases falls under this protection clause of fair use.","So far, AI companies have claimed that pulling digital content into training databases falls under this protection clause of fair use.",891,Inside the Race to Protect Artists from Artificial Intelligence,0.87798494,"So far, AI companies have claimed that pulling digital content into training databases falls under this protection clause of fair use.","[""ownership"", ""transparency""]","[""ownership"", ""transparency"", ""compensation""]",True,True,2,3
transparency,"Unfortunately, these deep learning content generation techniques currently cannot run realtime or interactively.","Unfortunately, these deep learning content generation techniques currently cannot run realtime or interactively.",1053,Review of machine  deep learning in an artistic context,0.8569579,"Unfortunately, these deep learning content generation techniques currently cannot run realtime or interactively.","[""utility""]","[""utility""]",False,False,1,1
transparency,"For example, Google’s AI summarising search feature has been criticised for frequently presenting incorrect information.","For example, Google’s AI summarising search feature has been criticised for frequently presenting incorrect information.",422,Beneath the Surface Adrien’s Artistic Perspective on Generative AI,0.8617001,"For example, Google’s AI summarising search feature has been criticised for frequently presenting incorrect information.","[""utility""]","[""utility""]",False,False,1,1
transparency,"Leffer: Another great question.To train an image-generating AI model to pump out pictures, you give it lots of images along with descriptive text.","Leffer: Another great question.To train an image-generating AI model to pump out pictures, you give it lots of images along with descriptive text.",893,Inside the Race to Protect Artists from Artificial Intelligence,0.86217695,"Leffer: Another great question.To train an image-generating AI model to pump out pictures, you give it lots of images along with descriptive text.","[""transparency""]","[""transparency""]",True,True,1,1
transparency,"Now, whether we fold AI into that is part of the decision.","Now, whether we fold AI into that is part of the decision.",591,Dave McKean on the Impact of AI for Artists.mp3,0.87279123,"Now, whether we fold AI into that is part of the decision.","[""utility""]","[""utility""]",False,False,1,1
transparency,"Meanwhile, scholars and advocates across a wide variety of disciplines have also examined other types of algorithmically-generated content whose developers obtained training data from public sources—such as social media—without the owners’ permission.","Meanwhile, scholars and advocates across a wide variety of disciplines have also examined other types of algorithmically-generated content whose developers obtained training data from public sources—such as social media—without the owners’ permission.",1278,The Ethics of Artificial Intelligence-Generated Art,0.8641197,"Meanwhile, scholars and advocates across a wide variety of disciplines have also examined other types of algorithmically-generated content whose developers obtained training data from public sources—such as social media—without the owners’ permission.","[""transparency"", ""ownership""]","[""transparency"", ""ownership""]",True,True,2,2
transparency,"Image Net includes 120 categories of dog breeds to showcase “fine-grained classification.” Because Image Net dedicates a lot of its capacity to dog breeds, it triggers a strong bias in the","Image Net includes 120 categories of dog breeds to showcase “fine-grained classification.” Because Image Net dedicates a lot of its capacity to dog breeds, it triggers a strong bias in the",607,DeepDream Creator Unveils Very First Images After Three Years — Artnome,0.8541272,"Image Net includes 120 categories of dog breeds to showcase “fine-grained classification.” Because Image Net dedicates a lot of its capacity to dog breeds, it triggers a strong bias in the","[""transparency""]","[""transparency""]",True,True,1,1
transparency,"Showing where data comes from, which algorithm we use, and just create that safety and secure space.","Showing where data comes from, which algorithm we use, and just create that safety and secure space.",83,AI Is an Extension of My Mind,0.8632438,"Showing where data comes from, which algorithm we use, and just create that safety and secure space.","[""transparency""]","[""transparency""]",True,True,1,1
transparency,"the Turing Test, or a robot that can graduate from elementary school or university), metrics for assessing partial progress remain more controversial and problematic.","the Turing Test, or a robot that can graduate from elementary school or university), metrics for assessing partial progress remain more controversial and problematic.",407,"Artificial General Intelligence:
Concept, State of the Art, and Future Prospects",0.8610894,"the Turing Test, or a robot that can graduate from elementary school or university), metrics for assessing partial progress remain more controversial and problematic.","[""utility""]","[""utility""]",False,False,1,1
compensation,"By nding loopholes and underscoring weaknesses in the AI systems they criticize, artists set their achievements up for recuperation, which allows the corporate sector to rene the normalization of injustices instead of correcting its political directives and improving its ethical standards.","By nding loopholes and underscoring weaknesses in the AI systems they criticize, artists set their achievements up for recuperation, which allows the corporate sector to rene the normalization of injustices instead of correcting its political directives and improving its ethical standards.",1557,Toward an Artist-Centred AI,0.87835944,"By nding loopholes and underscoring weaknesses in the AI systems they criticize, artists set their achievements up for recuperation, which allows the corporate sector to rene the normalization of injustices instead of correcting its political directives and improving its ethical standards.","[""threat""]","[""threat""]",False,False,1,1
compensation,"Yet, while resources such as the AI Artists’ Manifesto (Fuchs et al., 2020) or Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for","Yet, while resources such as the AI Artists’ Manifesto (Fuchs et al., 2020) or Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for",1558,Toward an Artist-Centred AI,0.89388084,"Yet, while resources such as the AI Artists’ Manifesto (Fuchs et al., 2020) or Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for","[""utility""]","[""utility"", ""transparency""]",False,False,1,2
compensation,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,805,How art & technology predict the future,0.8705817,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,"[""utility"", ""transparency""]","[""transparency""]",False,False,2,1
compensation,"For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.","For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.",1582,Unpacking AI’s influence in contemporary Art,0.8772281,"For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.","[""utility""]","[""utility""]",False,False,1,1
compensation,"At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.","At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.",1118,Should robot artists be given copyright protection,0.8778024,"At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.","[""ownership""]","[""ownership""]",False,False,1,1
compensation,"It partnered with Open AI to allow AI generated images, but in a controlled way that licenses the training data and promises to compensate artists whose work were in the training set, a model of sharing benefits, which is okay.","It partnered with Open AI to allow AI generated images, but in a controlled way that licenses the training data and promises to compensate artists whose work were in the training set, a model of sharing benefits, which is okay.",1593,Unpacking AI’s influence in contemporary Art,0.8889507,"It partnered with Open AI to allow AI generated images, but in a controlled way that licenses the training data and promises to compensate artists whose work were in the training set, a model of sharing benefits, which is okay.","[""utility"", ""transparency"", ""compensation""]","[""transparency"", ""compensation"", ""utility""]",True,True,3,3
compensation,That means that artists who upload their works to the internet may be unwittingly helping to train their algorithmic competitors.,That means that artists who upload their works to the internet may be unwittingly helping to train their algorithmic competitors.,196,AI-Generated Art Won a Prize. Artists Aren’t Happy. - The New York Times,0.88082117,That means that artists who upload their works to the internet may be unwittingly helping to train their algorithmic competitors.,"[""threat"", ""transparency""]","[""threat"", ""transparency""]",False,False,2,2
compensation,"As the market sorts out questions of value and authenticity, the economic influence of AI is only set to increase, driving innovations but also raising questions about how to price something potentially infinitely reproducible.","As the market sorts out questions of value and authenticity, the economic influence of AI is only set to increase, driving innovations but also raising questions about how to price something potentially infinitely reproducible.",1586,Unpacking AI’s influence in contemporary Art,0.865363,"As the market sorts out questions of value and authenticity, the economic influence of AI is only set to increase, driving innovations but also raising questions about how to price something potentially infinitely reproducible.","[""threat"", ""utility"", ""ownership""]","[""threat"", ""ownership"", ""compensation""]",False,True,3,3
compensation,"To decolonize AI, we must recognize and resist corporate attempts to repackage enclosures as public goods.","To decolonize AI, we must recognize and resist corporate attempts to repackage enclosures as public goods.",173,AI and the Tragedy of the Commons： a decolonial perspective ｜ Sustainable AI Conference ｜ U. Mejias,0.8800542,"To decolonize AI, we must recognize and resist corporate attempts to repackage enclosures as public goods.","[""ownership"", ""transparency"", ""threat""]","[""threat"", ""ownership""]",False,False,3,2
compensation,legal personhood that is instructive for the arts: “Manufacturers and operators should learn how each jurisdiction would categorize a given autonomous and/or intelligent system and how each jurisdiction would treat harm caused by the system” (p.,legal personhood that is instructive for the arts: “Manufacturers and operators should learn how each jurisdiction would categorize a given autonomous and/or intelligent system and how each jurisdiction would treat harm caused by the system” (p.,1170,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.87700135,legal personhood that is instructive for the arts: “Manufacturers and operators should learn how each jurisdiction would categorize a given autonomous and/or intelligent system and how each jurisdiction would treat harm caused by the system” (p.,"[""ownership""]","[""ownership""]",False,False,1,1
