chunk_idx,article,word_count,flags,n_flags,text_preview
7,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: related\s+articles?; nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter; boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,5,"Clearly, A.I. isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks. Sarah Cascone Senior Writer Article to"
758,Google’s AI can learn to play video games,250,ad_pattern: subscribe\s+(now|today|to); nav_pattern: terms\s+(of\s+)?(service|use); nav_pattern: cookie\s+(policy|consent); nav_pattern: all\s+rights?\s+reserved; boilerplate: ©\s*\d{4},5,for the native ad Top Stories 2:00 PM UTC Assassin’s Creed Shadows lives up to the series’ name 1:00 PM UTC I’m still testing the new Razer Blade 16 and I have mixed feelings Mar 28 Chat GPT’s Ghibli 
4,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter; boilerplate: courtesy\s+of,4,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says Deep neural networks are learning to make art and the results are impressive. Artworks created by Creative Adver"
20,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter; boilerplate: courtesy\s+of,4,"the last edition of Magna Carta and the version now in Harvard Law Library. “It is an icon both of the Western political tradition and of constitutional law,” Carpenter said. “The provenance of this d"
21,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: subscribe\s+(now|today|to); ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: related\s+articles?; nav_pattern: newsletter,4,"up than last May, results suggest that strong supply alone isn’t enough to offset deeper challenges. Plus, Yuga Labs, the company behind Bored Ape Yacht Club, has sold its landmark Crypto Punks NFT co"
796,How A.I. Is Creating Building Blocks to Reshape Music and Art,250,ad_pattern: advertisement; nav_pattern: terms\s+(of\s+)?(service|use); nav_pattern: privacy\s+policy; boilerplate: ©\s*\d{4},4,"a pig drawing looks like. Then, you ask them to, say, draw a pig with a cat’s head, or to visually subtract a foot from a horse or sketch a truck that looks like a dog or build a boat from a few rando"
8,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter; boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,3,"Article We recognize her from her eyebrows alone. Frida Kahlo is one of a handful of artists who have truly gained icon status, remembered not only for her searing body of work but also for her enduri"
16,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter,3,"evade legal scrutiny. This certainly isn’t the first nightmare the FKC—founded by Kahlo’s niece and heir to her estate Isolda Pinedo Kahlo—have had, trying to shut down the unlicensed use of Kahlo’s i"
23,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter; boilerplate: courtesy\s+of,3,"prevailing jewelry. Passersby stopped to gape at the audacious beast in the window: bold, brazen, and impossible to ignore. The best of Artnet News in your inbox. Sign up for our daily newsletter. A C"
26,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter; boilerplate: courtesy\s+of,3,sharply divided black-and-white background. Cartier’s Amphista Necklace entwines two diamond serpents set with emerald scales and crowned with kite-shaped diamonds. At the center: nine Colombian emera
27,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter,3,Paris’s Historic Mint Collaborate on a Series of Exclusive Coins That Merge Jewelry With Money The two iconic French institutions came together to produce a unique object that marries artistry and uti
757,Google’s AI can learn to play video games,250,nav_pattern: newsletter; nav_pattern: terms\s+(of\s+)?(service|use); nav_pattern: privacy\s+policy,3,"newsletter by David Pierce designed to tell you everything you need to download, watch, read, listen to, and explore that fits in The Verge’s universe. Email (required) Sign Up By submitting your emai"
773,Has Artificial Intelligence Brought Us the Next Great Art Movement? Here Are 9 Pioneering Artists Who Are Exploring AI’s Creative Potential,250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: share\s+this\s+(article|story|post); nav_pattern: newsletter,3,Has Artificial Intelligence Brought Us the Next Great Art Movement? Here Are 9 Pioneering Artists Who Are Exploring AI’s Creative Potential There's a lot going on in the world of art and AI. Anna Ridl
15,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of; boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,2,"of Frida Kahlo in traditional attire, holding a string of pearls between her lips, highlighting her iconic unibrow and bold fashion sense. Frida Kahlo. Photo courtesy of Amazon Studios. Debuting at th"
17,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter,2,"Library. David Carpenter, a medieval history professor at King’s College London, was trawling through the digitized collections of U.S. university libraries looking for unofficial copies of Magna Cart"
22,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,nav_pattern: share\s+this\s+(article|story|post); boilerplate: courtesy\s+of,2,"Padukone poses in profile against a bold red backdrop, wearing Cartier’s Panthère Jaillissante bracelet-ring, a striking panther design clutching an 8.63-carat Zambian emerald. Deepika Padukone in Car"
92,AI Weekly Machine-made art does not mean the end of human creativity,49,nav_pattern: newsletter; nav_pattern: privacy\s+policy,2,"VB Daily has you covered. We give you the inside scoop on what companies are doing with generative AI, from regulatory shifts to practical deployments, so you can share insights for maximum ROI. Read "
162,AI and the Future of Creative Work,250,ad_pattern: advertisement; nav_pattern: terms\s+(of\s+)?(service|use),2,don't own the image necessarily you can make it and you can maybe say that you wrote the prompt but so just from the standpoint of using an image in a even an advertisement or in the case of maybe vid
283,Art in the Age of Machine Learning,251,nav_pattern: all\s+rights?\s+reserved; boilerplate: ©\s*\d{4},2,"Art in the Age of Machine Learning , Sofian Audry, 2021 See ⟨ ⟩ for a complete list of titles in this series. Art in the Age of Machine Learning Sofian Audry The MIT Press Cambridge, Massachusetts Lon"
320,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,nav_pattern: most\s+popular; boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,2,"It's up to us humans to make sure the model doesn't ""misbehave."" What problems might models encounter in our case? Incorrectly labeled photos and images at the learning stage - If there are enough pho"
490,Can AI Create True Art?,250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter,2,"Can AI Create True Art? And if it can, what are the implications for the future of creativity? By Ken Weiner Culture Join Our Community of Science Lovers! Sign Up for Our Free Daily Newsletter This ar"
501,Can Google’s Deep Dream become an art machine,250,ad_pattern: download\s+(the|our)\s+app; nav_pattern: newsletter,2,Can Google’s Deep Dream become an art machine? | Art | The Guardian Skip to main content Skip to navigation Close dialogue1/3Next image Previous image Toggle caption Skip to navigation Support the Gua
611,DeepDream Creator Unveils Very First Images After Three Years — Artnome,147,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter,2,"Fair Zurich While I appreciated Deep Dream from the beginning, I felt it became kitsch too quickly as a result of being shared so broadly. Speaking with Alex makes me second guess that. It’s now clear"
756,Google’s AI can learn to play video games,250,nav_pattern: most\s+popular; nav_pattern: newsletter,2,"than previous methods in 43 games, and it did better than humans in 29 of them. Here’s a video of how the AI learned to beat _Breakout_ — notice how its strategy evolves as it plays more: The positive"
945,Media has a blind spot when covering the AI panic,250,ad_pattern: subscribe\s+(now|today|to); boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,2,Media has a blind spot when covering the AI panic The discourse on AI risk is shaped by two communities: rationality and effective altruism. Media coverage should reflect that. A single black pill wit
1002,New collaboration sparks global connections to art through artificial intelligence,250,boilerplate: powered\s+by; boilerplate: built\s+with,2,"Microsoft AI to generate more accurate keywords, Tag, That’s It enriches The Met collection with the global Wiki community. Storyteller - Built with the help of MIT faculty participants Azra Akšamija "
1015,Photographer slams AI bots that are copying his work with ‘remarkably similar’ images – can YOU tell the di...,250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter,2,"AI DON'T LIKE IT New laws could make the problem even worse... Millie Turner, Senior Technology & Science Reporter Published: 7:30, 1 Mar 2025 Updated: 16:47, 3 Mar 2025 AI-POWERED image generators ar"
1288,"The Future Of Art Is Digital, with Trevor Jones, World Renowned Artist",250,nav_pattern: newsletter; boilerplate: powered\s+by,2,what is up everybody i'm scott melker and this is the wolf of all streets podcast today's guest is a well known artist that's blended his passion for traditional painting and technology to push the li
1579,US appeals court rejects copyrights for AI-generated art lacking 'human' creator,250,ad_pattern: advertisement; nav_pattern: newsletter,2,"US appeals court rejects copyrights for AI-generated art lacking 'human' creator By Blake Brittain March 18, 20252:05 PM EDTUpdated 2 months ago Illustration shows AI (Artificial Intelligence) letters"
1671,Why artists shouldn’t fear AI,250,ad_pattern: sign\s+up\s+(for|now|today); nav_pattern: newsletter,2,Special Issue Advancements in generative art have many human artists on edge. But should they be worried? This video was generated using Stable Diffusion Deforum using the prompt “a film photograph of
5,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"lab on an algorithm that was able to identify the artist, genre, and style of works of art—a computer art historian of sorts. The computer had some surprising findings, drawing new connections between"
6,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"available Wiki Art data set. “The images generated by CAN do not look likes traditional art, in terms of standard genres (portrait, landscapes, religious paintings, still life, etc.),” notes the paper"
9,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"Domain An image of a woman, artist Frida Kahlo Frida Kahlo. Photo: Getty Images All artworks enter the public domain the United States, United Kingdom, South America, and most of the European Union af"
10,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,painting The Broken Column by Mexican artist Frida Kahlo at the Martin-Gropius-Bau museum in Berlin in 2010. Photo: John Macdougall/ AFP via Getty Images. Kahlo battled for most of her life with chron
11,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"dismantling assumptions and decoding some of her most celebrated works. One work, Diego and Frida 1929 – 1944—a tiny painting showing a split portrait of Kahlo and Rivera in a frame encrusted with sea"
12,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"the Belgian painter Leon De Vos, an image which she later would use as inspiration for her Self-Portrait with Jade Necklace in 1933. Madonna Wasn’t Allowed to Wear Kahlo’s Clothes, Said Museum Madonna"
24,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"necklace, the Celestun Necklace, is displayed against deep green pleated fabric. The intricate design features a stylized flamingo formed from diamonds, rose gold, and black lacquer, set amid emeralds"
25,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"wears Cartier’s Panthère Jaillissante bracelet-ring, a supple, sculpted panther gripping an 8.63-carat Zambian emerald. Courtesy of Cartier. Now, the house introduces a new High Jewelry collection tit"
28,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"use their technical knowhow to bring life to new objects that are born out of dreams,” Choisne said. A Tradition of Audacity at Boucheron Founded in 1858 by Frédéric Boucheron, the house of Boucheron "
29,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",250,boilerplate: courtesy\s+of,1,"possesses state-of-the-art workshops that include engraving and striking ateliers alongside jewelry and enameling workshops, where some 300 craftsmen produce medals, gold coins, and official decoratio"
31,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",182,boilerplate: courtesy\s+of,1,A major perennial challenge for the mint when collaborating with a jeweler is to translate the design of a three-dimensional piece of jewelry onto a two-dimensional coin. Courtesy of Boucheron. “For t
32,AI Art: How artists are using and confronting machine learning | HOW TO SEE LIKE A MACHINE,250,boilerplate: powered\s+by,1,"Many of the things that we interact with daily are powered by AI in some way, but there's very little understanding about it. There are artists that are using AI as a tool, and there are artists that "
59,AI Artist Anna Ridler,250,boilerplate: image\s+credit,1,"in the mornings. The clock is designed to run from dawn to dusk, and changes daily to reflect the precise longitude and latitude it’s programmed for. Imagery of the different flowers evolve in synchro"
61,AI BECOMES AN ARTIST ｜ DEEP DREAM  HALLUCINATING ALGORITHM!.mp3,250,ad_pattern: subscribe\s+(now|today|to),1,"Have you ever thought that AI could dream? Hallucinate, much like humans. Look at these pictures that have been totally generated by AI. Hello everyone and welcome to this new video on Deep Dream. I'm"
89,AI Weekly Machine-made art does not mean the end of human creativity,250,boilerplate: image\s+credit,1,"and pads through an online subscription, is trying to deliver these products [...] Read the full story Nexar raises $30 million for AI dashcam app Nexar, a dashcam recording app that uses artificial i"
107,"AI and The Future of Art, Round 2, Sam Altman & Android Jones @ PlayAlchemist, Robot Heart Residency",250,boilerplate: built\s+with,1,myself through from from the experience with this fire is that i feel there's a lot of artists that are it's it's the creativity is amazing and i don't wanna be suspicious of any joy that anyone gets 
260,AiArt: Towards Artificial Intelligence Art,250,nav_pattern: most\s+popular,1,"art and computer graphics. In 1990, he created the first ""Interior Body Series"" art project based on 3D images. In 1993, he created Osmose (infiltration), which allows visitors to explore the mysterie"
270,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"Alexander Mordvintsev, “deepdream.c,” 2015/2021 _View_ deepdream.c _in the K21 gallery_ _here_ → _Flatland_ tells of a three dimensional sphere raining down and through an infinitesimally thin world. "
271,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"a convolutional neural net, a machine learning algorithm designed to perform image recognition. If this AI had a mind, Mordvinstev had learned to read it by turning it inside out. Mordvintsev’s patch "
272,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,and in music videos. Apps were written that let anyone initiate their own computational hallucination. The Internet was soon awash in what Steven Levy called a “Boschian bestiary of visions.” “Deep Dr
274,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"computer science in university, I was told they were conceptually interesting but didn’t work. At Google, on the Safe Search team, I was working with neural nets that did. I thought I knew something a"
295,Art in the Age of Machine Learning,250,boilerplate: courtesy\s+of,1,brain tries to make sense of the robot’s neurotic behavior. Twenty minutes pass that feel like twenty hours. The vibrations of the E string feed through the guitar pickup and then to a set of distorti
306,Art made by AI is selling for thousands – is it any good?,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,Art made by AI is selling for thousands – is it any good? 12 December 2018 Share Save Thomas Graham Features correspondent Creidt: Mario Klingemann After a piece of art ‘created’ by an AI sold for $43
307,Art made by AI is selling for thousands – is it any good?,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"mouth. The ‘brushstrokes’ seem pixellated. In the bottom right corner, the signature is the algorithm. So, is this how a machine ‘sees’ us? Perhaps, stripped of the biases of human perception, this is"
316,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,nav_pattern: most\s+popular,1,that he created hundreds of images using various prompts and spent many weeks polishing his work before deciding to transfer it to canvas and enter it into the competition. If you want to get a closer
321,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,ad_pattern: download\s+(the|our)\s+app,1,make AI systems secured Can we remedy this somehow? Companies developing AI image generators are constantly working to ensure the safety of users and resolve possible legal issues. One approach is to 
327,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,ad_pattern: sign\s+up\s+(for|now|today),1,"free, after that you need to purchase one of the available plans. It is worth noting that while using the Discord bot, our prompts and their results are public and can be seen by other users. Key feat"
338,"Art, Technology, and the Future with Sterling Crispin",250,nav_pattern: newsletter,1,the neuroscience that went into the apple vision pro which has been of particular interest to me and a lot of people in the technology space and so we talked about how the proliferation of wearable fo
431,Beyond the Brush,249,boilerplate: ©\s*\d{4},1,"requir-ing them to generate creative responses to prompts, such as identifying novel and useful applications of common objects (e.g., the alternate uses task; Guilford, 1967). Hubert et al. found that"
433,Beyond the Brush,250,boilerplate: powered\s+by,1,"generates visual outputs that closely align with the user ’s description, effectively translating words into images. By combining human intention with AI ’s vast data set of visual knowledge, DALL-E 3"
541,Caroline Holden - How Artists Will Shape the Future of Tech,250,nav_pattern: newsletter,1,right so there is i think it's really really especially in film more so than a lot of other industries is something that people are really worried about yeah for sure do you have any i mean obviously 
542,Caroline Holden - How Artists Will Shape the Future of Tech,250,nav_pattern: newsletter,1,big ups and downs and then suddenly serena williams shows up in the second half it's great wow well yeah it looks so handy man another one is ranged by david epstein which is all about how generalists
