hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(1024, 512, 256, 128)",0.0001,0.002,1739269,0.98822,0.9043,0.87803,0.02388,0.45824,0.73946,0.52942,-46265300.0,-2723156.09898,1.35532,44,,0.0,0.985524233005743
"(1024, 512, 256, 128)",0.01,0.002,1739269,0.98794,0.90493,0.87855,0.02648,0.46028,0.73563,0.51926,-77022032.0,-4531560.27452,1.34807,45,,0.0,0.9849929415464909
"(1024, 512, 256, 128, 64)",0.001,0.002,1747205,0.97676,0.8968,0.88989,0.018,0.45517,0.73563,0.52731,-72010736.0,-4236701.8147,1.27891,22,,0.0,0.9838248345162398
"(1024, 512, 256, 128)",1e-05,0.002,1739269,0.98804,0.9063,0.87584,0.02475,0.45211,0.7433,0.53345,-62563000.0,-3681751.32811,1.37614,35,,0.0,0.9826107344840381
"(1024, 512, 256, 128)",1e-06,0.002,1739269,0.98817,0.90406,0.87879,0.02796,0.45083,0.73946,0.53174,-74439944.0,-4379917.6089,1.37409,45,,0.0,0.9789785796219507
"(1024, 512, 256, 128, 64)",1e-05,0.002,1747205,0.97503,0.90642,0.88668,0.02723,0.45032,0.70881,0.48363,-44339908.0,-2609484.36691,1.31289,35,,0.0,0.9723749828383859
"(1024, 512, 256, 128, 64)",0.001,0.001,1747205,0.98512,0.88547,0.86463,0.02792,0.44649,0.7433,0.54135,-60470292.0,-3558807.41265,1.36822,56,,0.0,0.9694559940048368
"(1024, 512, 256, 128)",0.001,0.002,1739269,0.98177,0.90161,0.87507,0.02522,0.44419,0.71648,0.49805,-58870860.0,-3464074.22206,1.41624,21,,0.0,0.9683950415749022
"(1024, 512, 256, 128, 64)",0.0001,0.002,1747205,0.98177,0.9033,0.88866,0.02022,0.44802,0.68582,0.46768,-44813468.0,-2636836.74874,1.29326,36,,0.0,0.9668383881464844
"(1024, 512, 256, 128, 64)",1e-06,0.002,1747205,0.96833,0.89031,0.8837,0.02676,0.44138,0.72797,0.50592,-50372312.0,-2965706.7009,1.3608,33,,0.0,0.9662350072822378
"(1024, 512, 256, 128, 64)",1e-05,0.001,1747205,0.98584,0.87921,0.86397,0.02912,0.44521,0.72414,0.51275,-93974704.0,-5529403.16069,1.36246,59,,0.0,0.9608138200759911
"(1024, 512, 256, 128, 64)",0.01,0.002,1747205,0.9768,0.88964,0.88369,0.02224,0.44981,0.66667,0.4641,-61441172.0,-3615898.46298,1.45752,20,,0.0,0.9569202564240081
"(1024, 256, 1024)",0.0001,0.002,1580293,0.98319,0.8816,0.87317,0.02575,0.44189,0.70115,0.46544,-68433552.0,-4026864.96386,1.41941,82,,0.0,0.9557111528969559
"(1024, 512, 256, 64)",0.0001,0.002,1722501,0.98282,0.88301,0.8691,0.02465,0.43602,0.71264,0.49229,-91751152.0,-5399019.43735,1.39076,47,,0.0,0.9554504030484232
"(1024, 512, 256, 64)",0.001,0.002,1722501,0.98196,0.87844,0.8661,0.02557,0.43499,0.71648,0.49414,-91136640.0,-5363464.37432,1.41698,29,,0.0,0.9535743546178084
"(1024, 512, 256, 64)",0.01,0.002,1722501,0.98308,0.88662,0.86797,0.02439,0.43678,0.68582,0.46434,-90711840.0,-5338138.48307,1.37848,45,,0.0,0.9499068473863864
"(1024, 512, 256, 128, 64)",1e-06,0.001,1747205,0.97503,0.88156,0.86323,0.02934,0.43193,0.70115,0.49459,-62324780.0,-3668773.41282,1.35857,36,,0.0,0.9465740697942353
"(1024, 512, 256, 128, 64)",0.01,0.001,1747205,0.9821,0.87362,0.86943,0.02766,0.43627,0.69349,0.50259,-67215816.0,-3957318.52168,1.46709,22,,0.0,0.9461195385357353
"(1024, 256, 1024)",1e-05,0.002,1580293,0.98023,0.86536,0.87086,0.02556,0.43627,0.69732,0.4675,-75539160.0,-4445078.50954,1.4119,36,,0.0,0.9454632403709587
"(1024, 256, 1024)",0.01,0.002,1580293,0.97997,0.87207,0.87415,0.02825,0.43908,0.67433,0.44102,-86027072.0,-5061732.69769,1.41683,31,,0.0,0.9425640315061412
"(1024, 512, 256, 64)",1e-05,0.002,1722501,0.98022,0.8762,0.86882,0.0293,0.42631,0.70115,0.48765,-100765472.0,-5929367.92192,1.41926,26,,0.0,0.9417821194376068
"(1024, 256, 1024)",0.001,0.002,1580293,0.98,0.8684,0.8723,0.02584,0.43397,0.68199,0.44487,-61665076.0,-3629105.65262,1.42458,36,,0.0,0.9408891046732
"(1024, 512, 256, 128, 64)",0.0001,0.001,1747205,0.98055,0.88128,0.86587,0.02721,0.42605,0.68582,0.46816,-65548008.0,-3857379.91051,1.39484,36,,0.0,0.9397197267045478
"(1024, 512, 256, 128)",0.01,0.001,1739269,0.98763,0.87884,0.85572,0.03175,0.42554,0.69732,0.49245,-59828040.0,-3521042.74888,1.46478,24,,0.0,0.9386173695443873
"(512, 256, 128, 64)",0.001,0.002,697605,0.98374,0.88555,0.86775,0.02715,0.42427,0.67433,0.45975,-78653272.0,-4628089.0871,1.39035,69,,0.0,0.9371177819349267
"(1024, 256, 1024)",1e-06,0.002,1580293,0.97978,0.86739,0.87341,0.02749,0.43269,0.67433,0.43915,-67143136.0,-3951300.05728,1.44212,36,,0.0,0.9370878244785847
"(512, 256, 128, 64)",0.0001,0.002,697605,0.98081,0.88622,0.86649,0.02872,0.42478,0.6705,0.44663,-66420608.0,-3908545.4428,1.42848,45,,0.0,0.9358371947744406
"(1024, 512, 256, 128)",0.0001,0.001,1739269,0.98618,0.87708,0.85215,0.02863,0.42784,0.67816,0.45481,-68656096.0,-4040537.81259,1.48422,24,,0.0,0.935294173385606
"(512, 256, 128, 64)",0.01,0.002,697605,0.98216,0.88716,0.86616,0.02818,0.42222,0.6705,0.44869,-73845608.0,-4345278.56505,1.45915,36,,0.0,0.9346705818129409
"(1024, 512, 128)",0.001,0.002,1640709,0.98624,0.87131,0.85254,0.02509,0.41277,0.71264,0.46738,-65789364.0,-3872174.60437,1.63174,31,,0.0,0.9343776014123499
"(1024, 512, 256, 128)",1e-05,0.001,1739269,0.98641,0.87379,0.85322,0.02819,0.42273,0.68966,0.48327,-68493552.0,-4030924.65755,1.47453,24,,0.0,0.9342749425779288
"(1024, 512, 256, 64)",1e-06,0.002,1722501,0.97929,0.87685,0.86823,0.02781,0.42197,0.67816,0.4645,-95618592.0,-5626739.39644,1.42745,24,,0.0,0.9335451617748902
"(512, 256, 128, 64)",1e-06,0.002,697605,0.98495,0.88061,0.87049,0.02546,0.42197,0.659,0.43961,-80794640.0,-4754118.45381,1.4349,36,,0.0,0.9308800060994695
"(512, 256, 128, 64)",1e-05,0.002,697605,0.97871,0.87716,0.86889,0.02572,0.41635,0.67433,0.45189,-65748020.0,-3868966.09338,1.41119,44,,0.0,0.9299104823067176
"(1024, 512, 256, 128)",0.001,0.001,1739269,0.98667,0.87767,0.85103,0.0307,0.42171,0.6705,0.44866,-60175040.0,-3541634.93829,1.48437,24,,0.0,0.9284334768716264
"(1024, 512, 128)",0.01,0.002,1640709,0.98457,0.87008,0.85595,0.02843,0.40792,0.70498,0.45743,-64913832.0,-3820835.03139,1.61831,26,,0.0,0.9277218609305353
"(1024, 512, 256, 128)",1e-06,0.001,1739269,0.98652,0.87554,0.85399,0.03165,0.41737,0.67816,0.46689,-70044144.0,-4122130.70739,1.4876,24,,0.0,0.9268925516746931
"(512, 256, 64)",0.0001,0.002,672901,0.99015,0.86757,0.84201,0.02544,0.4235,0.66667,0.4301,-49450652.0,-2910687.31876,1.60698,85,,0.0,0.9264331602046818
"(1024, 512, 128)",1e-06,0.002,1640709,0.98673,0.86832,0.85443,0.02611,0.40434,0.70498,0.46375,-71627440.0,-4215623.61471,1.58272,39,,0.0,0.9256143304227455
"(1024, 256, 64)",1e-05,0.002,1328773,0.97994,0.86806,0.85231,0.02167,0.40945,0.68199,0.44651,-48067248.0,-2828948.09981,1.49127,57,,0.0,0.9243085917977534
"(1024, 512, 128)",0.0001,0.002,1640709,0.98696,0.86962,0.85394,0.02719,0.40562,0.69732,0.45287,-72721648.0,-4280139.06885,1.6108,46,,0.0,0.9243069157726402
"(1024, 512)",0.001,0.002,1576965,0.98664,0.84014,0.83681,0.0203,0.42529,0.68199,0.49279,-53240788.0,-3134177.8361,1.50841,39,,0.0,0.9242284101352657
"(1024, 512, 128)",1e-05,0.002,1640709,0.98664,0.86928,0.8548,0.02576,0.40281,0.69732,0.44851,-71009200.0,-4179291.06419,1.59392,39,,0.0,0.9230630607617007
"(1024, 512)",1e-05,0.002,1576965,0.98664,0.83831,0.83556,0.0192,0.42708,0.6705,0.47761,-58814708.0,-3462040.12819,1.5043,39,,0.0,0.9220215790954338
"(512, 128, 512)",0.01,0.002,659077,0.97301,0.86817,0.85919,0.02663,0.41456,0.66284,0.43425,-32178932.0,-1895268.24701,1.49032,21,,0.0,0.9212026550114368
"(1024, 512)",0.0001,0.002,1576965,0.9867,0.83867,0.83614,0.01895,0.42324,0.67433,0.47454,-58543276.0,-3446075.29645,1.50963,39,,0.0,0.9208391328154302
"(1024, 512)",1e-06,0.002,1576965,0.98665,0.83836,0.83543,0.01925,0.42631,0.66667,0.47411,-59018356.0,-3474018.57486,1.50394,39,,0.0,0.9204700088653757
"(1024, 512, 256)",0.01,0.002,1707013,0.98549,0.85945,0.85568,0.03217,0.41405,0.6705,0.41955,-61289012.0,-3607216.98549,1.49765,29,,0.0,0.9173126728709364
"(1024, 512, 256, 64)",0.01,0.001,1722501,0.97987,0.86688,0.85036,0.03103,0.41201,0.66667,0.45106,-63998572.0,-3767221.44222,1.54147,36,,0.0,0.917294940615202
"(1024, 512)",0.01,0.002,1576965,0.98785,0.84033,0.84112,0.0204,0.42095,0.66284,0.44847,-54326904.0,-3198090.87263,1.52642,47,,0.0,0.9167520092492617
"(1024, 512, 256)",0.001,0.002,1707013,0.98478,0.85886,0.85321,0.03077,0.41584,0.659,0.40333,-67387728.0,-3965690.48413,1.5244,26,,0.0,0.9155030756363015
"(1024, 512, 256)",0.0001,0.002,1707013,0.98508,0.85691,0.85404,0.03133,0.40664,0.68199,0.42437,-53173284.0,-3129904.43773,1.55713,29,,0.0,0.914904180234879
"(512, 128, 512)",1e-06,0.002,659077,0.97378,0.86895,0.85393,0.02866,0.40894,0.65517,0.42367,-37202924.0,-2190840.28474,1.47504,21,,0.0,0.9142862147824538
"(512, 256, 64)",0.01,0.002,672901,0.99,0.8595,0.84548,0.02549,0.41609,0.64751,0.42497,-58305300.0,-3431755.01089,1.63378,51,,0.0,0.9141459893764676
"(512, 256, 64)",1e-06,0.002,672901,0.99009,0.8537,0.83702,0.02823,0.41941,0.65134,0.43036,-65808564.0,-3873372.02099,1.65822,36,,0.0,0.9133136989919949
"(1024, 256, 64)",0.001,0.002,1328773,0.97911,0.86136,0.84668,0.02538,0.40562,0.66667,0.426,-62207128.0,-3661705.28177,1.50565,48,,0.0,0.9132741524860734
"(512, 128, 512)",1e-05,0.002,659077,0.9736,0.8698,0.8523,0.02717,0.41047,0.64368,0.41616,-36992084.0,-2178472.75786,1.47367,21,,0.0,0.9129188244253392
"(512, 128, 512)",0.001,0.002,659077,0.97283,0.86906,0.859,0.02971,0.41124,0.64368,0.41278,-31609040.0,-1861798.98115,1.47325,21,,0.0,0.912856673973065
"(1024, 512, 256)",1e-05,0.002,1707013,0.98515,0.85709,0.85117,0.02978,0.40613,0.6705,0.40877,-52393708.0,-3084058.95645,1.55806,29,,0.0,0.9118713927281343
"(1024, 256, 64)",0.01,0.002,1328773,0.97972,0.85867,0.85392,0.02463,0.40102,0.6705,0.43152,-86782424.0,-5107507.63251,1.5562,29,,0.0,0.9115463207337963
"(1024, 256, 64)",1e-06,0.002,1328773,0.97738,0.86659,0.85294,0.02804,0.40485,0.65517,0.41528,-45577564.0,-2683741.97043,1.57653,41,,0.0,0.9109897711791929
"(512, 128, 512)",0.0001,0.002,659077,0.97467,0.86766,0.85528,0.02913,0.40434,0.65517,0.42557,-39753780.0,-2340737.03135,1.46923,21,,0.0,0.9108144270551303
"(512, 256, 64)",0.001,0.002,672901,0.99031,0.85389,0.84114,0.02524,0.41584,0.64368,0.42119,-64744200.0,-3810696.66369,1.65066,36,,0.0,0.9107135616658899
"(1024, 512, 256)",1e-06,0.002,1707013,0.98435,0.85589,0.85546,0.03004,0.40587,0.66667,0.40965,-52274780.0,-3076677.69062,1.56917,26,,0.0,0.9106465739325834
"(1024, 512, 256, 64)",1e-05,0.001,1722501,0.98077,0.86571,0.85481,0.0327,0.39898,0.67433,0.4615,-62210888.0,-3662101.31838,1.5343,24,,0.0,0.9102713672589876
"(1024, 256, 64)",0.0001,0.002,1328773,0.97663,0.86666,0.84726,0.02588,0.4,0.66284,0.43511,-40177172.0,-2366090.06817,1.5765,41,,0.0,0.9101889316639457
"(1024, 512, 256, 64)",0.0001,0.001,1722501,0.98094,0.86604,0.85499,0.02988,0.39515,0.6705,0.45443,-62051048.0,-3652657.37885,1.53516,24,,0.0,0.9080641440147782
"(1024, 256)",0.0001,0.002,1313285,0.98157,0.8366,0.8431,0.0252,0.41201,0.66284,0.42915,-81101768.0,-4774280.03943,1.70905,48,,0.0,0.9078872643137481
"(512, 256, 64)",1e-05,0.002,672901,0.99016,0.85328,0.84134,0.02597,0.4166,0.63218,0.41104,-64342636.0,-3787161.69931,1.66735,36,,0.0,0.907627089809599
"(1024, 256)",0.001,0.002,1313285,0.98348,0.833,0.83104,0.02261,0.40996,0.6705,0.43416,-93804760.0,-5521950.27101,1.71845,46,,0.0,0.9071585794998916
"(512, 256, 128)",0.001,0.002,689669,0.99001,0.86615,0.83149,0.03615,0.39745,0.67816,0.44533,-97730784.0,-5750936.52904,1.58291,30,,0.0,0.9063737020819947
"(1024, 512, 256, 128, 64)",0.0001,0.0005,1747205,0.98471,0.83922,0.82839,0.02466,0.40996,0.66284,0.41083,-89391840.0,-5260169.6844,1.47485,95,,0.0,0.9059931612816179
"(1024, 256)",0.01,0.002,1313285,0.97846,0.83743,0.83696,0.02465,0.40587,0.6705,0.43854,-85492848.0,-5032768.68829,1.75886,49,,0.0,0.9057632918542959
"(1024, 256, 1024)",1e-05,0.001,1580293,0.97625,0.8579,0.84296,0.02698,0.40051,0.65517,0.40918,-104094064.0,-6125570.22392,1.66209,22,,0.0,0.9046107918097899
"(1024, 256, 1024)",0.001,0.001,1580293,0.97631,0.85649,0.84205,0.02693,0.39974,0.659,0.41431,-109856296.0,-6464480.92287,1.68056,22,,0.0,0.9045916343472435
"(1024, 256, 1024)",1e-06,0.001,1580293,0.97624,0.8587,0.84217,0.0264,0.40051,0.65134,0.40519,-103963000.0,-6117710.55128,1.65993,22,,0.0,0.9040010429340676
"(512, 256, 128)",1e-06,0.002,689669,0.98858,0.86838,0.83076,0.03464,0.3954,0.66667,0.42514,-94285784.0,-5547938.59622,1.6181,45,,0.0,0.9032392683823858
"(1024, 512, 256, 64)",1e-06,0.001,1722501,0.97983,0.86386,0.84757,0.03046,0.40077,0.64368,0.41959,-65193912.0,-3837773.29431,1.53746,24,,0.0,0.9027105461995528
"(512, 256, 128)",0.01,0.002,689669,0.99034,0.86532,0.82797,0.03003,0.39821,0.65517,0.41061,-99104848.0,-5831621.07536,1.59109,30,,0.0,0.9025957959098252
"(1024, 256, 1024)",0.0001,0.001,1580293,0.97619,0.85738,0.84281,0.02672,0.39617,0.65134,0.40798,-106609232.0,-6273468.33126,1.68355,22,,0.0,0.9006723101257926
"(1024, 256, 1024)",0.01,0.001,1580293,0.97605,0.85731,0.84186,0.02808,0.39234,0.66284,0.42179,-117817432.0,-6932621.49588,1.6992,22,,0.0,0.900566404881328
"(1024, 256)",1e-05,0.002,1313285,0.97916,0.84591,0.84052,0.02436,0.40383,0.64368,0.40504,-89152080.0,-5247922.93407,1.75241,46,,0.0,0.9005462885277942
"(1024, 256)",1e-06,0.002,1313285,0.9796,0.83582,0.84051,0.02587,0.40358,0.659,0.41723,-96681216.0,-5690449.55967,1.73918,49,,0.0,0.9005275748167129
"(1024, 512, 256, 64)",0.001,0.001,1722501,0.98046,0.86215,0.85025,0.03075,0.39591,0.64751,0.42738,-62395872.0,-3673258.39514,1.52333,39,,0.0,0.900186252759104
"(512, 256, 128)",0.0001,0.002,689669,0.98966,0.86651,0.8338,0.03605,0.3954,0.64368,0.40354,-113901144.0,-6701991.93154,1.60943,27,,0.0,0.8961809502720348
"(1024, 512, 128)",1e-05,0.001,1640709,0.98461,0.86612,0.82854,0.02257,0.38442,0.64751,0.41961,-65981512.0,-3883320.15801,1.68392,95,,0.0,0.8950240168232866
"(512, 256, 128)",1e-05,0.002,689669,0.98767,0.8705,0.83362,0.03662,0.38978,0.64751,0.39702,-59438552.0,-3498195.96254,1.58635,57,,0.0,0.8946082874238555
"(1024, 512, 256, 128, 64)",0.01,0.0005,1747205,0.98372,0.83253,0.83007,0.02559,0.39464,0.659,0.4317,-89665544.0,-5276252.80495,1.52904,85,,0.0,0.8925567823194217
"(1024, 512, 128)",0.0001,0.001,1640709,0.98316,0.85393,0.83035,0.02092,0.38365,0.63218,0.39282,-79808208.0,-4696709.6005,1.69795,88,,0.0,0.8872625209846376
"(1024, 64)",0.01,0.002,1115525,0.98496,0.85788,0.826,0.04028,0.39949,0.62069,0.40583,-55764536.0,-3282113.54186,1.62728,143,,0.0,0.8871427246101532
"(1024, 64)",0.01,0.002,1115525,0.98496,0.85788,0.826,0.04028,0.39949,0.62069,0.40583,-55764536.0,-3282113.54186,1.62728,143,,0.0,0.8871427246101532
"(1024, 512, 128)",0.01,0.001,1640709,0.98326,0.85152,0.82945,0.02425,0.38365,0.62835,0.38026,-86434488.0,-5087032.17678,1.7511,71,,0.0,0.8839277828331141
"(1024, 512, 256)",0.001,0.001,1707013,0.9854,0.83519,0.82384,0.02945,0.38238,0.65517,0.42162,-65689836.0,-3866849.63618,1.71058,34,,0.0,0.8820866502510691
"(1024, 512, 256)",0.0001,0.001,1707013,0.98562,0.83518,0.82364,0.02831,0.37957,0.659,0.41497,-64939092.0,-3822633.00744,1.72475,34,,0.0,0.8817410459164198
"(1024, 512, 256)",1e-05,0.001,1707013,0.98486,0.83819,0.82666,0.02854,0.37931,0.64368,0.4007,-65748332.0,-3870265.35957,1.71815,25,,0.0,0.8786879496188185
"(1024, 512, 128)",1e-06,0.001,1640709,0.98244,0.84949,0.83193,0.02645,0.37369,0.63218,0.40625,-76748200.0,-4517170.87099,1.77299,72,,0.0,0.8771449286725275
"(1024, 512, 256)",0.01,0.001,1707013,0.98549,0.83994,0.82963,0.03122,0.37982,0.63602,0.38699,-64282964.0,-3783851.84054,1.7295,36,,0.0,0.8767411397784842
"(1024, 512, 256)",1e-06,0.001,1707013,0.98489,0.83797,0.82627,0.02913,0.3788,0.63602,0.39624,-63502316.0,-3738103.48258,1.72567,25,,0.0,0.8759288165289052
"(512, 32)",0.01,0.002,541381,0.98533,0.86056,0.83109,0.02061,0.36194,0.62452,0.39004,-88271936.0,-5194509.86517,1.7243,179,,0.0,0.8734596976011716
"(1024, 512, 128)",0.001,0.001,1640709,0.9846,0.84836,0.83294,0.02562,0.3696,0.6092,0.37804,-77229456.0,-4545592.07426,1.7924,49,,0.0,0.8683857211127499
"(1024, 256, 64)",0.01,0.001,1328773,0.97892,0.82727,0.82918,0.03187,0.36245,0.659,0.41883,-100748640.0,-5928766.72875,1.72744,36,,0.0,0.8670846877230642
"(1024, 32)",1e-05,0.002,1082565,0.96512,0.81147,0.81842,0.02684,0.38008,0.63218,0.43835,-90354832.0,-5317962.89155,1.79708,75,,0.0,0.8670434505177659
"(512, 256, 128, 64)",0.001,0.001,697605,0.9823,0.83609,0.82429,0.03402,0.37803,0.61303,0.39812,-88247712.0,-5193308.54182,1.66705,29,,0.0,0.8663324793410014
"(512, 256, 128, 64)",0.01,0.001,697605,0.98239,0.83932,0.82685,0.03364,0.36884,0.62835,0.41906,-79894368.0,-4701975.1839,1.68809,34,,0.0,0.8659819000109985
"(1024, 256, 64)",0.0001,0.001,1328773,0.97754,0.82673,0.82181,0.02959,0.36117,0.65134,0.40359,-100718256.0,-5927035.64853,1.73694,26,,0.0,0.8641446855476898
"(1024, 32)",0.01,0.002,1082565,0.97666,0.82614,0.83579,0.0297,0.37165,0.62069,0.41571,-70054488.0,-4123073.95623,1.80018,109,,0.0,0.8640575855060162
"(1024, 256, 64)",0.001,0.001,1328773,0.97791,0.82648,0.82592,0.03316,0.3645,0.64368,0.39389,-98733440.0,-5810259.57809,1.72213,26,,0.0,0.8631264257590995
"(512, 256, 128, 64)",0.0001,0.001,697605,0.9821,0.83606,0.82574,0.03233,0.37318,0.6092,0.38753,-88878544.0,-5230551.84407,1.6951,32,,0.0,0.8630070935926092
"(1024, 256, 64)",1e-05,0.001,1328773,0.97789,0.82658,0.82185,0.02932,0.36347,0.63985,0.3941,-94016976.0,-5532826.65977,1.72068,27,,0.0,0.8626209565789218
"(512, 256, 128, 64)",1e-05,0.001,697605,0.98219,0.83501,0.82746,0.03252,0.37292,0.6092,0.39051,-92452976.0,-5440797.73199,1.69158,32,,0.0,0.8626032037476821
"(1024, 512, 256, 128, 64)",0.001,0.0005,1747205,0.98283,0.81437,0.82968,0.02776,0.3811,0.60153,0.3607,-97644112.0,-5746182.74584,1.59789,25,,0.0,0.861298117573305
"(1024, 256, 64)",1e-06,0.001,1328773,0.97771,0.82578,0.82322,0.03054,0.36066,0.64368,0.39625,-103510128.0,-6091240.22556,1.72538,26,,0.0,0.8611942775996921
"(512, 256, 128, 64)",1e-06,0.001,697605,0.98204,0.83443,0.82682,0.03287,0.37037,0.6092,0.39354,-92329192.0,-5433565.10191,1.69526,29,,0.0,0.8605295722279949
"(512, 128, 512)",0.01,0.001,659077,0.97417,0.81845,0.82147,0.04099,0.37905,0.61686,0.39398,-46537896.0,-2740694.24397,1.66439,20,,0.0,0.8589309123718841
"(1024, 512, 256, 128, 64)",1e-05,0.0005,1747205,0.98282,0.81437,0.82506,0.0256,0.36909,0.61303,0.38212,-83577344.0,-4918738.66824,1.59646,25,,0.0,0.856957040719713
"(1024, 128)",0.0001,0.002,1181445,0.97336,0.84039,0.8167,0.02608,0.35479,0.61686,0.37793,-90002280.0,-5297910.99668,1.79471,95,,0.0,0.8561370434260438
"(512, 256, 64)",0.0001,0.001,672901,0.98601,0.82163,0.78496,0.0288,0.36322,0.63602,0.3991,-69633072.0,-4098883.81739,1.98258,22,,0.0,0.8558631680968467
"(512, 128, 512)",1e-06,0.001,659077,0.97433,0.81829,0.81566,0.0365,0.37701,0.60536,0.37615,-50818964.0,-2992476.58105,1.66587,20,,0.0,0.8556961270115373
"(1024, 512, 256, 128, 64)",1e-06,0.0005,1747205,0.98317,0.81368,0.82794,0.02426,0.37241,0.5977,0.35953,-91471824.0,-5382917.95152,1.59906,25,,0.0,0.8556569008776638
"(512, 128, 512)",0.001,0.001,659077,0.9742,0.81782,0.81556,0.03769,0.37573,0.6092,0.38865,-50986324.0,-3002372.69795,1.6714,20,,0.0,0.8552260511882761
"(512, 128, 512)",0.0001,0.001,659077,0.97442,0.81878,0.81547,0.03629,0.3765,0.60153,0.37725,-50705692.0,-2985752.86613,1.66501,20,,0.0,0.8545626367180296
"(1024, 32)",0.0001,0.002,1082565,0.97205,0.80254,0.82968,0.0306,0.36756,0.62452,0.38915,-85787696.0,-5049433.36815,1.89136,64,,0.0,0.8535449630496031
"(512, 256, 64)",0.001,0.001,672901,0.98567,0.82194,0.78608,0.02571,0.35888,0.63218,0.39605,-70001840.0,-4120551.01548,1.9751,28,,0.0,0.8535338122722523
"(1024, 32)",1e-06,0.002,1082565,0.96969,0.80281,0.81647,0.03273,0.36782,0.63218,0.42043,-81149304.0,-4776334.59869,1.87569,60,,0.0,0.8534814517383574
"(1024, 32)",0.001,0.002,1082565,0.97395,0.81388,0.82141,0.03286,0.37344,0.60153,0.37028,-72960248.0,-4294206.82096,1.81386,97,,0.0,0.8530615559062784
"(512, 128, 512)",1e-05,0.001,659077,0.97425,0.81726,0.81552,0.03655,0.37548,0.5977,0.3729,-50243520.0,-2958687.11953,1.668,20,,0.0,0.8522600927162328
"(512, 256, 64)",1e-06,0.001,672901,0.98562,0.82164,0.78616,0.02686,0.35888,0.62835,0.39096,-69138264.0,-4069791.05549,1.99443,28,,0.0,0.8519276160000796
"(1024, 512, 256, 64)",0.01,0.0005,1722501,0.97855,0.83319,0.80772,0.03559,0.3576,0.62069,0.39608,-95397328.0,-5614772.66157,1.60705,26,,0.0,0.8515932876938461
"(512, 256, 64)",1e-05,0.001,672901,0.98562,0.82164,0.78501,0.02864,0.35888,0.62835,0.39096,-69186688.0,-4072639.90198,1.99454,28,,0.0,0.8510471415038151
"(1024, 512, 256, 64)",0.001,0.0005,1722501,0.97912,0.83297,0.80594,0.0353,0.35964,0.61303,0.38799,-98774896.0,-5813553.30964,1.61331,37,,0.0,0.8507113893725852
"(1024, 512, 256, 64)",1e-06,0.0005,1722501,0.979,0.83098,0.80657,0.03514,0.36143,0.60536,0.3839,-103665936.0,-6101477.18682,1.62564,37,,0.0,0.8492939886885438
"(512, 256, 64)",0.01,0.001,672901,0.98643,0.82179,0.78905,0.02288,0.35377,0.62069,0.38463,-68621376.0,-4039432.70877,1.96365,33,,0.0,0.8485901108898427
"(1024, 512, 256, 64)",0.0001,0.0005,1722501,0.9791,0.83139,0.80889,0.03793,0.35939,0.6092,0.38229,-106135888.0,-6246746.61156,1.62493,37,,0.0,0.8482164852005224
"(1024, 512, 256, 64)",1e-05,0.0005,1722501,0.97903,0.83159,0.80616,0.03472,0.36143,0.5977,0.3828,-105617840.0,-6216304.13998,1.62225,37,,0.0,0.8475659898341825
"(1024, 64)",0.0001,0.002,1115525,0.98135,0.83314,0.81155,0.03704,0.36935,0.57471,0.36573,-87852416.0,-5169482.40189,1.72529,87,,0.0,0.8466816866864121
"(1024, 64)",0.0001,0.002,1115525,0.98135,0.83314,0.81155,0.03704,0.36935,0.57471,0.36573,-87852416.0,-5169482.40189,1.72529,87,,0.0,0.8466816866864121
