text,article,cohort,sim_to_centroid,original_index,cluster
driving these initiatives what is however lacking is sustained investment and a new approach to metrics that can allow for these agendas to be explicitly and unapologetically articulated and followed through so we can now see a bit of detail not this one though this one so the first pathway that we propose is developing a more continuous and decentralised infrastructure that enables practices of distributed organization key here is value alignment around legal standards metrical coordination and,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9528851509094238,659,0
its users so we treat these three primitives as jumping off points which are not without gaps and limitations they are drawn from what we see existing in the patterns within decentralised tech and particularly there are questions relating to durability legal status regulation spaces for alternative non network forms of creative r and d as well as questions over the delivery of public value but by and salvaging organizational primitives and trying to understand how they can be hybridized and augm,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9458504915237427,657,0
we ask the question how can artists and cultural organizations allow for spontaneous innovation through tools based projects that could serve as early blueprints for axat infrastructure building and an example of this is an open source tool polis which is a sentiment analysis tool for community deliberation and we're going to be using this tool shortly to collectively answer that beginning question and our experiment with this is an effort to understand how art could be a catalyst for aligning a,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9439666867256165,655,0
"type of feedback. We should be very aware of who's defining the metrics and whose interests are served by the types of metrics that get paid attention to and who's done. And if we keep focused on that, then we have the possibility of opening things up rather than closing things down.",The Future of Art According to Simon Denny,boundary,0.8645884990692139,1336,0
everyone my name is hans ulrich ovest i'm the artistic director of the serpentine and we are so delighted to welcome you all tonight here to celebrate the launch of future ecosystems three art and decentralized tech i hope you already got or will all get the small booklet which is actually the third volume in this series we are incredibly grateful of course to reference point to sofia to jonah and everybody else here and it's great a few weeks really after having all been here with kathleen for ,Future Art Ecosystems 3: Art x Decentralised Tech,diverse,0.9254751205444336,639,0
"I got thousands of messages when the work was around the world and how actually I learned that Alzheimer's and dementia is a very large problem for society. I mean, I think the future is holding multiple challenges. First of all, we will be questioning creativity. we will be questioning reality and I think we will be looking for who will define what is real who will be like the authority that will help us to define reality I think it will get more blurry I don't believe we will be eventually def",AI Is an Extension of My Mind,core,0.9448215365409851,83,1
"by a machine makes very real outputs. In fact, I was looking for these hallucinations as a mean of experiment. And the second phase was how can I visualize this latent space, a space that we cannot see, we cannot feel, but mathematically exists. So over the last seven years, which feels like 70 years, we developed many algorithms, many approaches to make this invisible space visible. And we downloaded more than 4 billion images of things that I call collective memories, such as urban, nature, sp",AI Is an Extension of My Mind,core,0.9406408071517944,72,1
"Those are informed by our own histories, our cultures, our own memories. And so that question of meaning making is all over the place. Artists, what we bring to the party is thousands, if not tens of thousands of years of thinking about what the hell an image is. The kind of engineering computer science tradition does not have that. This is a place where artists are bringing voices to the conversation that I think are quite urgent. we're talking about AI today but in truth the fascination and th",AI Art: How artists are using and confronting machine learning | HOW TO SEE LIKE,core,0.9393929243087769,37,1
"thinking, we're probably not allowed to know. I don't have a ton of policy opinions about it. I wish there could be some more incentives for things that are more constructive immediately: medicine, education, making the legal process less expensive. It’s crazy that, in general, if someone has more money, it’s significantly more likely they will win. They can just make things go on for a long time, and the courts are super backed up. What does competent leadership look like to you? The way the U.",Why Grimes No Longer Believes That Art Is Dead,boundary,0.864516019821167,1629,1
"GPT, Stable Diffuse, Mid Journey. Like these are all actually following a very similar pattern, which are extremely supervised, extremely labeled, multimodal AI algorithms allowing us to interact with them. In quote unquote supervised learning, which is the more conventional mode of machine learning, humans are the ones that are essentially tagging these bits of information from the outset, saying here's a picture of a pencil. This is a pencil. AI is quite good at saying, if you tell me to creat",AI Art: How artists are using and confronting machine learning | HOW TO SEE LIKE,diverse,0.9260134100914001,32,1
"Invisible Images Exploring the Collective Imaginary Conclusion 12 Conclusion Zooming Out Plugging the Gap Beyond Metacreation Human-Machine Relationships Taming the Unknowable Paradigm Shift in the Art World Final Thoughts Glossary Bibliography Name Index Subject Index List of Figures 1.1 Nicolas Baginsky, Aglaopheme , 1992 1.2 Components of a machine learning system 2.1 Images from Galápagos interactive exhibit, 1997 2.2 Komar and Melamid, America’s Most Wanted , 1994 2.3 Sample paintings gener",Art in the Age of Machine Learning,core,0.9405272006988525,283,2
"Machine Learning System From Cybernetics to Deep Learning A Shift in Paradigm Chapter Breakdown I TRAINING 2 Optimizing Art Art, Purpose, Teleology The Best Art Computational Creativity The Imitation Game Learning in Real Time Conclusion 3 Curbing the Training Curve Emergence versus Authorship Subjective Functions Interactive Genetic Algorithms Artificial Curiosity Chasing Agents Shake, Rattle, and Roll Conclusion 4 Aesthetics of Adaptive Behaviors Aesthetics of Behavior Degrees of Behavior Beha",Art in the Age of Machine Learning,core,0.9392120838165283,282,2
"artistic discourse around AI. Going beyond aesthetic experience and the sense of ‘fun’ that is often associated with technology-driven art, it considers art’s role in demystifying new technologies while highlighting some socio-political issues – but it also explores the limitations of art as a debunker of techno-hype. The very notion of ‘AI art’ posited in the book’s title is a proposition, not a typological designation. This is why I veer between the visually more straightforward ‘AI art’ AI (a",AI Art: Machine Visions and Warped Dreams,core,0.9378371238708496,44,2
"necklace, the Celestun Necklace, is displayed against deep green pleated fabric. The intricate design features a stylized flamingo formed from diamonds, rose gold, and black lacquer, set amid emeralds and aquamarines, anchored by a striking 38.50-carat aquamarine pendant. Cartier’s Celestun Necklace conjures a stylized flamingo amid emerald reeds and aquamarine waters, crowned by a 38.50-carat aquamarine drop. Courtesy of Cartier. Cartier’s big cats quickly became status symbols—objects of obses","A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Stu",boundary,0.855164110660553,23,2
"and letting the AI do the rest. How About Some Plant Hybridization Stanislas Chaillou, an architect, artist, and AI researcher from Paris, applied AI to botany for his “Bio Morphosis” project. Inspired by the work of German photographer Karl Blossfeldt, Chaillou created a series of AI-generated animations that blend different plant species together in a dynamic herbarium. An Amateur’s Opera Blob Opera is a machine learning experiment by David Li in collaboration with Google Arts & Culture that e",2020 in Review: 10 AI-Powered Art Projects,diverse,0.923318088054657,2,2
"this realm and I really started to articulate my creative language through this space. and I didn't get a chance to receive that level of attention, you know? And like I would naturally feel, because I sat down and I put in the time to articulate my vision in that way. And I would probably be upset. But would I be upset 20 years from now, 30 years from now? Probably not. I'll probably be flattered, you know? So yeah, proximity to timeliness of the artist and also the exposure of the artist. Yeah",How will AI impact Art? Interview with Artist Jah Reynolds,core,0.9441133737564087,831,3
look at how emotional contagion is also spread through technologies and this means you know an incentive to yes purchase such and such product there's an opportunity to have things that you need know a lot of times i get advertisements but things i wouldn't have known without ai at the same time i think there's this need to look at the next generation of tech for good and how we can include global co authorship in the intention of the technology and ai and this is where artists come in and i thi,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam B",core,0.9431903958320618,1399,3
the link for me in terms of bridging art and artificial intelligence and more specifically what do you think is the impact of ai on art and on artists i think it's evolving i think it's generative it's iterative it's emerging i think at the beginning there was you know let me go back to how human behavior changes at scale and with every technological advancement that we've had from the wheel from fire from flight from you know every step has been fraught with the initial reaction of you know res,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam B",core,0.9423419237136841,1383,3
has been involved in various industries Which media can you name them? The Rockefeller family has been involved in media through initiatives like supporting TV Lab at 13 WNET in the 1970 s. Their involvement often supports broader cultural and artistic initiatives. I wonder what the Rockefellers thought of Picasso. There's limited specific information on the Rockefellers' personal opinions about Picasso. Do their art acquisitions include any original Picassos? Yes. The Rockefeller family has own,AI vs Artists: Who Will Win the War?,boundary,0.8519031405448914,191,3
hey angel how are you good to see you good to see you too pal we haven't seen each other in person since burning man a year and a half ago this is the first time we're seeing each other since the last time we saw each other how do you think stuff's going i think stuff's going pretty well i think we're not in total dystopia yet so that's exciting you've had a busy year i thought maybe we could kind of recap a little of what we talked about last year and what's kind of going on with our lives in t,"AI and The Future of Art, Round 2, Sam Altman & Android Jones @ PlayAlchemist, R",diverse,0.9013254642486572,91,3
that didn't have people in them for a while and then people got there and so on and that's sort of a process of our species spreading out across the planet so similarly we can see in this kind of interconcept space of potentially artistic forms how have we gradually spread out in this interconcept space to kind of to colonize that to bring in things that we now think that they that now produce some sort of resonance in our minds that we think of as artistically interesting and i haven't done tha,Future of Science and Technology Q&A,core,0.9509503245353699,681,4
happens and they can immediately say well then you'll see this triangle and this and that and the other but the words are coming after the mental image came they're not the mode of thinking there and so you know i think the question is sort of what is it that we can think in terms of do we have to it could be the case that to think we have to turn everything into something that is basically like human language i don't think that's the case but i can't describe necessarily what and as i'm talking,Future of Science and Technology Q&A,core,0.9502986669540405,710,4
sort of that would really look more so than just where we can interpolate the pixels let's see elsie is commenting on this transfer of images without language serialization do you foresee something similar for complex abstract ideas embodied in human neural nets or firing patterns you know what is an abstract idea it's something where the only concretification of abstract ideas is in some kind of formalization whether that's in human language or in mathematics or in computational language but ab,Future of Science and Technology Q&A,core,0.9500120878219604,701,4
"more we are learning how much intelligence is needed to communicate effectively. It’s one thing to understand the words that I am saying. It is quite another to understand what I mean, taking into account conversational context, world knowledge, ```",The Future of AI and Creativity An Interview with Jon Brandt,boundary,0.8535195589065552,1329,4
about a lot too that it is right now it's just a lot of data and we don't refer to it as a creature like how far away are we from starting to think about it being more creature y than data y and what's going to spark that i have thought a lot about not trying to rigorously scientifically define this but when to me would it feel more creature y than tool and i've had a very hard time designing a test for that i will share one thing that one of my co founders said that has always stuck in my mind ,"AI and The Future of Art, Round 2, Sam Altman & Android Jones @ PlayAlchemist, R",diverse,0.9301185011863708,118,4
"created AARON to be different. He said in his interview with Scientific American Frontiers in the mid 90's: “I'd be happier if AARON's work in the future were less like human work, not more like human work” (cited in Cornish, 2011, p. 7). As a programer, Cohen's goal had always been program autonomy (Cohen, 2009). But in 2009 when a newly developed and very general form generator brought it very close to that goal—AARON could now handle color, forms, and composition all on its own—Cohen suffered","Mind, Machine, and Creativity: An Artist's Perspective",core,0.9509302377700806,972,5
"had been the hallmark of the early versions of AARON and, instead, showcased images of people, plants, and tables. The coloring of the drawings was also nearly indistinguishable from that Cohen had done by hand for AARON’s drawings a decade before. Cohen had trained AARON to create convincing “Harold Cohen” paintings. The exhibit was featured on ABC’s Good Morning America and PBS. The first image created with the new system was sold at an auction held at the Computer Museum in Boston. In 2015, t",Harold Cohen and AARON—A 40-Year Collaboration,core,0.9493166208267212,763,5
"most of the AI programs employed in the various forms of computer art” (p. 31), and she claims that “these aren't really computer ‘models’ at all, but rather computer programs—ones that may sometimes seem to work in creative ways... Most computer artists are interested not in human psychology but in the esthetic value of their program's performance” (p. 31). But she is quick to point out that AARON is an exception to the rule: “AARON was unusual in that Cohen—already a highly successful abstract","Mind, Machine, and Creativity: An Artist's Perspective",core,0.9466736316680908,959,5
"held in major museums like the Victoria & Albert Museum in London, the Stedelijk Museum in Amsterdam, and the Tate Gallery. Commenting on Cohen’s passing, legendary early computer artist Frieder Nake said, “Harold was the lonesome rock of rule-based algorithmic art. Nobody in the world did anything in fine art as courageous, as daring, and as successful as he. His approach was unique in all its facets. His rich work stands out unparalleled.”",Harold Cohen and AARON—A 40-Year Collaboration,boundary,0.8781759142875671,766,5
"OF AIART The Ai Art has an ongoing and long-standing relationship with the advance of AI technology. The development of Ai Art, therefore, has gone through three stages: germination stage, rising stage and popularization stage. Figure 1 explains the three stages of the development of Ai Art. Figure 1. Three stages of the development of Ai Art A. The first stage From the 1960 s to the end of the 20th century is the embryonic stage of Ai Art, that is, the stage of computer art. AI is a domain of c",AiArt: Towards Artificial Intelligence Art,diverse,0.9267610907554626,256,5
"conceive before. The skill of interpreting and enlivening the stories told by this new data will fall to historians, critics, and curators–and their roles will only be more important as a result. > > • Value of experience. Digital tools and social media tend to have a constant, unceasing pace. But visiting a museum is a deeper, more meditative, more tangible, and less frequent experience. Museums should keep this in mind as they structure their publishing efforts and build new platforms. Social ",Further Speculation on Digital Arts Media's Future(s),core,0.9450606107711792,629,6
"of “contemporary art history” degree programs, we’ll see more academic writing on art aimed at a narrower and narrower audience. Because publishing is free, we’ll see more hobbyist writing. The ghettoization of art will intensify. But unless something dramatic happens, art journalism aimed at the 99% in the middle, work that builds on the lessons in art and that tells the stories of artists, writing that is important because ideas expressed visually are as important and as interesting as ideas e",Further Speculation on Digital Arts Media's Future(s),core,0.9437575936317444,632,6
"is a critic and associate editor at_ Art in America_. He edited_ The Animated Reader_, a poetry collection published as a companion to the New Museum’s 2015 Triennial, and_ Klaus e Books_, a series of digital artists’ books published by Klaus von Nichtssagend Gallery. He has reviewed about a hundred galleries and museums on Yelp, where his account was designated as Elite in 2013 and 2014._ Rob Giampietro Human beings are hungry to connect with one another and culture is one of the very best and ",Further Speculation on Digital Arts Media's Future(s),core,0.9423604011535645,627,6
"would a traditional museum exhibition. This more meaningful dialogue will help us all collectively figure out what a digital version of material culture can and should look like. _Koven J. Smith is the director of Digital Adaptation at the Blanton Museum of Art, the founder of Drinking About Museums, and a veteran of the Metropolitan Museum of Art, the Denver Art Museum, and the Indianapolis Museum of Art. He tweets frequently at @5easypieces_. Get _Walker Reader_ in your inbox. Sign up to recei",Further Speculation on Digital Arts Media's Future(s),boundary,0.8943616151809692,638,6
"Between technology’s continuous advance and a (hopefully) narrowing global digital divide, the future of online cultural publishing–arts journalism, criticism, artistic presentation, and even experience–is hazier than ever. How will we be reading and writing about art in 10 years’ time, if we are at all? And how will changes in technology shift the work of critics, curators, arts reporters, and artists? In part two of our series on the future of this field, we posed these questions to array of c",Further Speculation on Digital Arts Media's Future(s),diverse,0.9256849884986877,621,6
"like your art, like, toes the line between the physical and the digital, between chaos and order. Like, what what about those dichotomies is interesting to you? Do they have more in common than you realize? Like, how do you think about that? Yeah. I mean, I think it's a for me, but I'm interested in hearing what you guys think about this. I mean, the digital is physical. It's not a nonphysical thing. This is a crazy weird dichotomy that people have created. The digital, you know, it's light, lik",Sarah Sze on the Future of Art,core,0.9422670602798462,1078,7
"a concept of time and space, which I know you think about a lot or memory, which I know you also think about a lot. So there's so many I mean, I get so many offers all the time and I have been you know, it's funny, I remember I was like asked to do So I did an AR piece during COVID because I felt like people aren't allowed, they can't get out of their houses. They can't experience these things. I did a piece in Paris and it was closed. No one could go see it. So we did an AR piece where that pie",Sarah Sze on the Future of Art,core,0.9415166974067688,1098,7
"so I you know, the fact that your perspective changes as you walk around it, as you look towards the wall, you look towards the, you know, the kind of the complex centerpiece desk slash studio slash something. Right? You know, exactly what it is. That that experience of time had me reflecting on it. That's beautiful. That's the philosopher in you. Yes. Absolutely. But I think the reason why I switched that over is because I think people often think, you know, they say, what does the work mean? O",Sarah Sze on the Future of Art,core,0.9394923448562622,1111,7
"Tanya Cushman Reviewer. I have to say that I'm very glad to be here. I understand we have over 80 countries here, so that's a whole new paradigm for me to speak to all of these countries. In each country, I'm sure you have this thing called the Parent Teacher Conference. Do you know about the parent-teacher conference? Not the ones for your kids, but the one you had as a child, where your parents come to school and your teacher talks to your parents, and it's a little bit awkward. Well, I rememb","John Maeda: How art, technology and design inform creative leaders",boundary,0.8861082196235657,926,7
"was allowed to make music that I took huge advantage of, that was fully the byproduct of technology. And I think this is about to extend to all of art. You know when I see some of the new stuff coming with AI like video to video and text to video and all this stuff that like is about to explode and I think it so beautiful that like when everyone has the same tools that can make professional quality stuff, then, like, you get to see the actual talent, like, really rise to the top. You've said con",AI is tranforming how we create and engage with art,diverse,0.9278720021247864,177,7
"pieces of art. The artificial intelligence behind the CAN technology is essentially “trained in a manner similar to the way artists grow and master their craft; they need to both utilize their prior experience and have regular exposure to art.”15 In this way, the creative process is, in some ways, distinct from the initial programming that took place by the creators. As the machine “learns” how to be more creative, it does so in a space independent from the starting point of the code—it builds i",Artificial Creativity: A Case Against Copyright for AI-Created Visual Artwork,core,0.9526137709617615,382,8
"recently passed a law amending their copyright code to get ahead of the issue explored in this paper. Under its Copyright, Designs and Patents Act, “[i]n the case of a literary, dramatic, musical or artistic work which is computer-generated, the author shall be taken to be the person by whom the arrangements necessary for the creation of the work are undertaken.”19 Essentially, the coders responsible for the software behind the artificial intelligence’s learning heuristic are extended ownership ",Artificial Creativity: A Case Against Copyright for AI-Created Visual Artwork,core,0.947547972202301,385,8
"book which contains a set of instructions about how to do a particular task and a computer program in machine-readable form which contains a similar, if considerably more elaborate, set of instructions on the same subject: The former informs a human being about how the task might be done; the latter does the task.” Samuelson, supra note 37, at 727. In this instance, too, the software—even if printed in some readable, comprehensible form, would still do little to describe the creative process. In",Artificial Creativity: A Case Against Copyright for AI-Created Visual Artwork,core,0.9462459683418274,404,8
"Library. David Carpenter, a medieval history professor at King’s College London, was trawling through the digitized collections of U.S. university libraries looking for unofficial copies of Magna Carta when he clicked open Harvard’s “HLS MS 172.”","A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Stu",boundary,0.8258053064346313,17,8
"to read effaced and faded text in Magna Carta. Photo: courtesy Harvard Law School. For starters, its dimensions, 489 by 473 millimeters, were consistent with the originals. Confirming the text, however, proved more challenging. As noted in the catalogue, Harvard’s version was “somewhat rubbed and damp-stained,” so the researchers used spectral imaging and ultraviolet light, which allowed them to work through the document word-by-word. It was a perfect match, which was essential because the 14th-","A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Stu",diverse,0.8579747676849365,18,8
"artwork is also, kind of, tragic. The viewer can never—or rarely—experience it by themselves. So, if you really want to spend time with Vincent van Gogh’s _Postman_, it’s going to be tough. With digital work, you have this benefit of growing with it at home and then seeing the concert version. The busyness of the entrance of Mo MA andthe energy of that does feel close to the Internet—a place where everybody goes. I dothink that’s part of the feeling of New York. Rafaël Rozendaal Installation vie",The Unbearable Lightness of Being Online  Magazine  MoMA,core,0.9596856832504272,1514,9
"the thread that connects them all? RR: I see it all as play. When I encounter composition, it’s interesting for me to go very close to abstraction but just find the point where it’s not, and that’s like a game of chess: I made this move. What move can I make after that? PA: You once told me that, in your mind, modernism is the absence of narrative. RR: I’m interested in comics for the elements of reduction, not in their storytelling. We grow up with narratives, and it makes things easier to unde",The Unbearable Lightness of Being Online  Magazine  MoMA,core,0.9559482336044312,1508,9
"interview. He talked about that fear when the computer turns off and crashes and the screen goes black, and then the feeling of hope after dark. So, the darkness, and then, “Oh, my computer didn’t crash and something is happening.” They never were working in the art ecosystem. They were very commercial; they would go to a trade show, demoing the first screensavers. Everyone’s setting up their booth with printers and there’s this booth with screensavers, and people said, “That’s ridiculous. No on",The Unbearable Lightness of Being Online  Magazine  MoMA,core,0.9555438160896301,1512,9
"a meditative quality, asking for a different kind of attention than most of the Internet? RR: Well, I always saw them as dead ends. The Internet is full of connections, and then you get to this road and you’re just stuck there. _This conversation has been edited for clarity and length._ > _Light: Rafaël Rozendaal_ is on view at Mo MA through spring 2025. Get the best of Magazine in your inbox.",The Unbearable Lightness of Being Online  Magazine  MoMA,boundary,0.9242262244224548,1515,9
"Mo MA visits Rafaël Rozendaal’s studio to talkdigital abstraction, Disney cartoons, screensavers,and the beauty of unexpected sources. Paola Antonelli, Amanda Forment, Prudence Peiffer, Rafaël Rozendaal Dec 12, 2024 On the occasion of the exhibition _Light: Rafaël Rozendaal_, which features a selection of the artist's websites on a 25-foot high-resolution screen at Mo MA, we visited Rozendaal in his New York studio. A lively discussion ensued. Rafaël Rozendaal at his studio When the Internet hap",The Unbearable Lightness of Being Online  Magazine  MoMA,diverse,0.9444609880447388,1505,9
